continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,health_expenditure,private_health_percent,medical_doctors_per10k,nursing_midwifery_per10k,TOTAL_VACCINATIONS_PER100,PERSONS_FULLY_VACCINATED_PER100,cumulative_estimated_daily_excess_deaths
Oceania,Kiribati,3084.0,13.0,25406.136,107.095,,121388.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,1.9,68.37,0.63,172.3,2.91,2.04,38.26,120.734,48.716,-6.15000725165727
Asia,Kuwait,631409.0,2555.0,145870.687,590.267,,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,2.0,75.49,0.806,1759.0,13.04,23.42,46.83,186.606,77.143,8435.17191308746
Asia,Kyrgyzstan,200993.0,2991.0,30323.247,451.244,,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,4.5,71.45,0.697,62.14,46.26,22.13,56.03,42.1,18.772,14311.5006192974
Europe,Latvia,822726.0,5770.0,440682.959,3090.629,,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,5.57,75.29,0.866,1167.0,39.17,34.05,44.34,147.4,66.375,9195.34825471555
Asia,Lebanon,1097044.0,10387.0,162065.228,1534.461,,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,663.1,50.13,22.07,16.74,82.081,34.449,16630.0709517317
Africa,Lesotho,33134.0,697.0,15346.444,322.825,32.41,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,,54.33,0.527,124.2,14.18,4.73,32.57,43.591,34.338,3323.15868981553
Africa,Liberia,7434.0,294.0,1435.078,56.754,,5180208.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,0.8,64.1,0.48,52.56,59.22,0.51,19.54,36.327,28.435,6557.24029435304
Africa,Libya,501916.0,6430.0,72129.519,924.045,,6958538.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,3.7,72.91,0.724,309.9,36.67,20.91,65.31,50.26,16.606,29616.4032414639
Europe,Lithuania,1058537.0,9105.0,393528.367,3384.932,,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,6.56,75.93,0.882,1370.0,34.55,50.76,100.8,159.7,67.933,19865.3339262578
Europe,Luxembourg,238917.0,1068.0,376357.484,1682.383,,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,4.51,82.25,0.916,6221.0,12.8,30.07,121.7,200.1,73.717,371.142964223644
Africa,Madagascar,64181.0,1391.0,2257.721,48.932,,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,0.2,67.04,0.528,19.85,39.59,1.99,2.98,8.178,3.798,39026.5759298121
Africa,Malawi,85790.0,2634.0,4366.419,134.062,,19647681.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,1.3,64.26,0.483,30.4,23.84,0.5,7.09,10.74,4.75,27711.2761292921
Asia,Malaysia,4450859.0,35555.0,135795.476,1084.781,,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,1.9,76.16,0.81,436.6,47.8,22.86,34.84,214.703,80.759,19772.7041139849
