continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,health_expenditure,private_health_percent,medical_doctors_per10k,nursing_midwifery_per10k,TOTAL_VACCINATIONS_PER100,PERSONS_FULLY_VACCINATED_PER100,cumulative_estimated_daily_excess_deaths
Asia,Afghanistan,178901.0,7683.0,4491.002,192.869,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,0.5,64.83,0.511,65.81,79.4,2.54,4.46,15.377,11.912,73258.2959603989
Europe,Albania,275177.0,3496.0,95782.569,1216.874,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,78.57,0.795,274.9,44.66,18.75,60.46,98.2,43.305,17660.3925071243
Africa,Algeria,265782.0,6875.0,5957.017,154.091,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,76.88,0.748,248.2,34.96,17.19,15.48,34.676,14.78,91572.0294731783
Europe,Andorra,39713.0,155.0,513392.973,2003.775,11.11,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,83.73,0.868,2744.0,30.51,33.33,40.13,197.1,70.108,197.995107342271
Africa,Angola,99287.0,1900.0,2925.919,55.992,37.04,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,,61.15,0.581,71.33,55.61,2.14,4.08,54.453,19.253,48671.2046039868
North America,Antigua and Barbuda,7626.0,136.0,77242.525,1377.522,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,3.8,77.02,0.778,760.3,41.51,27.67,90.83,138.473,63.122,-21.7135706146678
South America,Argentina,9083673.0,128653.0,199177.921,2820.977,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,5.0,76.67,0.845,946.0,37.39,40.6,26.0,217.906,82.358,168906.388534788
Asia,Armenia,422874.0,8622.0,142471.618,2904.861,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,75.09,0.776,524.0,86.6,44.02,49.54,72.6,33.236,16034.4818101816
Oceania,Australia,6030240.0,7310.0,233837.027,283.463,,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944,5427.0,28.32,41.29,131.4,225.683,84.323,6262.4410887763
Europe,Austria,4149004.0,18170.0,458804.707,2009.273,37.96,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,81.54,0.922,5242.0,26.99,52.93,105.6,204.9,74.171,18253.4605101966
Asia,Azerbaijan,792579.0,9709.0,77526.394,949.689,,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,4.7,73.0,0.756,193.1,67.96,31.68,64.34,132.8,47.75,46824.0791997984
North America,Bahamas,33582.0,798.0,84607.749,2010.511,40.74,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,2.9,73.92,0.814,2005.0,47.53,19.39,45.67,86.681,40.169,907.611310983458
Asia,Bahrain,569370.0,1476.0,325671.583,844.251,,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,2.0,77.29,0.852,940.4,40.8,9.26,24.94,201.794,71.617,3166.15659557702
Asia,Bangladesh,1952726.0,29127.0,11741.942,175.144,,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,45.86,75.26,6.67,4.89,156.138,70.567,551475.256900991
North America,Barbados,70793.0,398.0,246058.504,1383.347,,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,5.8,79.19,0.814,1143.0,54.28,24.88,30.6,125.86,52.864,190.695583261894
Europe,Belarus,980345.0,6947.0,103818.575,735.688,16.67,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,11.0,74.79,0.823,399.4,29.48,45.38,110.0,128.5,59.973,69636.5813231954
Europe,Belgium,4071279.0,31494.0,349996.742,2707.453,,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,5.64,81.63,0.931,4960.0,23.22,60.79,200.8,219.4,79.216,24259.75949999
North America,Belize,57497.0,676.0,141997.703,1669.486,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,1.3,74.62,0.716,293.4,27.14,10.78,23.41,118.819,53.041,1024.07412717024
Africa,Benin,26952.0,163.0,2164.64,13.091,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,0.5,61.77,0.545,29.13,53.01,0.65,3.03,27.496,21.626,9561.95786641071
Asia,Bhutan,59247.0,21.0,75967.432,26.927,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,1.7,71.78,0.654,116.0,19.47,4.99,20.78,246.555,86.871,517.944607147122
Europe,Bosnia and Herzegovina,377087.0,15765.0,115548.257,4830.764,,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,3.5,77.4,0.78,553.8,29.73,21.62,57.33,58.7,25.789,24950.3435214726
Africa,Botswana,305984.0,2688.0,127640.119,1121.289,,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,1.8,69.59,0.735,481.5,15.33,3.78,54.57,81.644,56.704,9935.84877816052
South America,Brazil,30460997.0,663838.0,142345.47,3102.142,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,853.4,59.11,23.11,74.01,193.936,74.743,788834.988497811
Europe,Bulgaria,1157199.0,36920.0,167791.342,5353.32,13.89,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,7.454,75.05,0.816,697.9,40.84,42.07,47.85,62.9,29.571,70986.9818443276
Africa,Burkina Faso,20865.0,383.0,970.596,17.816,,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,0.4,61.58,0.452,42.34,42.39,0.94,9.27,14.012,7.363,56112.7635021611
Africa,Burundi,40397.0,38.0,3296.253,3.101,13.89,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,0.8,61.58,0.433,20.57,40.97,0.72,6.49,0.105,0.097,19587.7414861606
Asia,Cambodia,136254.0,3056.0,8040.27,180.333,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,0.8,69.82,0.594,113.3,69.19,1.93,10.08,222.435,84.401,20014.1747921505
Africa,Cameroon,119780.0,1927.0,4399.752,70.782,27.78,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,1.3,59.29,0.563,54.0,82.44,1.29,3.63,6.89,4.555,49488.3157166233
North America,Canada,3770995.0,39338.0,99059.673,1033.364,42.59,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,5048.0,29.83,24.43,110.7,216.844,82.519,27585.0484863357
Africa,Central African Republic,14649.0,113.0,2977.447,22.968,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,1.0,53.28,0.397,37.2,61.31,0.72,2.56,21.483,20.469,1423.33338347122
Africa,Chad,7412.0,193.0,438.191,11.41,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,,54.24,0.398,29.85,62.25,0.61,2.03,14.289,12.709,57204.0606287717
South America,Chile,3562521.0,57541.0,185428.58,2994.999,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,2.11,80.18,0.851,1376.0,49.08,28.35,43.48,275.107,91.314,48273.9560997891
Asia,China,1022910.0,5112.0,708.28,3.54,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,4.34,76.91,0.761,535.1,44.02,22.27,30.83,228.655,84.996,584343.729498411
South America,Colombia,6092667.0,139797.0,118844.573,2726.903,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,1.71,77.29,0.767,495.3,28.12,23.27,14.56,162.025,69.59,178543.705273181
Africa,Comoros,8106.0,160.0,9123.693,180.088,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,2.2,64.32,0.554,72.32,66.36,2.64,14.83,73.864,34.639,1146.80982797796
Africa,Congo,24079.0,385.0,4256.484,68.057,,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,,64.57,0.574,48.56,54.06,1.04,9.69,15.065,11.823,11634.4784453131
Oceania,Cook Islands,5116.0,1.0,291145.003,56.909,,17572.0,,,,,,,,,,,,76.25,,662.2,12.37,14.12,80.0,225.843,83.574,5.51976392344054
North America,Costa Rica,852074.0,8405.0,165803.7,1635.515,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,1.13,80.28,0.81,921.6,27.46,33.01,38.02,208.42,80.178,6910.90909381246
Europe,Croatia,1123029.0,15843.0,275140.464,3881.512,,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,5.54,78.49,0.851,1040.0,18.45,34.65,81.22,129.0,55.106,22731.774556523
North America,Cuba,1103286.0,8527.0,97484.974,753.435,,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,5.2,78.8,0.783,1032.0,10.59,84.2,75.61,315.215,87.805,16300.3830804077
Europe,Cyprus,480220.0,1020.0,535956.831,1138.387,,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,3.4,80.98,0.887,1996.0,43.29,31.44,52.51,198.3,74.155,1049.57955971349
Europe,Czechia,3907793.0,40175.0,364378.17,3746.077,20.37,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,6.63,79.38,0.9,1844.0,18.5,41.53,89.34,163.9,64.137,46312.1401921215
Europe,Denmark,3118106.0,6183.0,536374.336,1063.595,,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,6003.0,16.71,42.25,105.4,226.7,82.228,3231.07924512644
Africa,Djibouti,15631.0,189.0,15596.734,188.586,58.33,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,61.81,25.58,2.24,7.29,17.906,11.772,5688.66831339235
North America,Dominica,12161.0,63.0,168500.249,872.915,,72172.0,98.567,,,,9673.367,,227.376,11.62,,,3.8,75.0,0.742,440.2,34.82,11.03,60.98,92.281,41.936,86.0292109774438
North America,Dominican Republic,579443.0,4376.0,52899.227,399.499,,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,1.6,74.08,0.756,491.1,54.27,14.52,14.59,142.824,54.948,7008.20503012448
South America,Ecuador,869696.0,35598.0,48617.674,1989.996,,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759,486.5,38.13,22.2,25.06,194.038,78.762,73417.9915776809
Africa,Egypt,515645.0,24613.0,4945.84,236.077,43.52,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,1.6,71.99,0.707,149.8,71.16,7.46,19.26,79.528,33.352,332215.379443366
North America,El Salvador,162089.0,4128.0,24865.997,633.275,,6518500.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,1.3,73.32,0.673,300.1,35.88,28.7,18.34,164.203,66.115,24193.6591629656
Africa,Equatorial Guinea,15907.0,183.0,10971.17,126.216,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,2.1,58.74,0.592,254.9,77.83,4.02,3.1,33.572,15.136,635.235603741673
Europe,Estonia,572193.0,2539.0,431782.509,1915.955,,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,1599.0,25.56,34.72,66.08,155.2,62.905,4454.48774571797
Africa,Eswatini,70678.0,1397.0,60286.48,1191.604,,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,2.1,60.19,0.611,264.1,23.15,1.42,25.14,46.148,28.967,5610.43756261721
Africa,Ethiopia,470587.0,7510.0,3992.213,63.711,,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,0.3,66.6,0.485,26.74,43.19,1.06,7.84,25.55,18.52,190680.52321285
Oceania,Fiji,64646.0,862.0,71598.263,954.703,,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,2.3,67.44,0.743,235.7,27.4,8.6,39.6,160.885,70.58,1376.0662306013
Europe,Finland,1023013.0,3939.0,184381.117,709.939,,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,3.28,81.91,0.938,4450.0,19.83,46.4,223.1,212.2,78.252,6817.08121115021
Europe,France,28744830.0,146211.0,426341.995,2168.595,,67422000.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,5.98,82.66,0.901,4492.0,24.69,32.74,117.8,230.8,80.208,108514.905848633
Africa,Gabon,47602.0,304.0,20888.799,133.402,,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,6.3,66.47,0.703,215.0,39.12,6.46,21.12,25.01,11.466,4813.39255251447
Africa,Gambia,11995.0,365.0,4823.202,146.767,,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,29.73,27.48,0.82,9.46,15.035,13.165,3162.37164537623
